ID,Length (mm),Max Width (mm),Classification,X,Y
1,25.64,10.5,Wide,1256,1429
2,22.95,6.0,Wide,888,1428
3,163.01,83.0,Wide,1185,1417
4,15.83,7.0,Wide,824,1412
5,16.66,7.0,Wide,1011,1409
6,14.04,6.0,Wide,887,1408
7,70.88,29.5,Wide,933,1403
8,78.86,32.0,Wide,903,1398
9,88.23,31.5,Wide,590,1386
10,12.74,6.0,Wide,652,1377
11,292.85,128.5,Unknown,292,1358
12,13.16,5.0,Wide,1457,1146
13,20.11,8.0,Wide,1816,1089
14,26.52,9.0,Wide,1577,1038
15,19.24,8.5,Wide,694,996
16,19.24,8.5,Wide,861,995
17,13.12,5.0,Wide,1881,926
18,63.7,26.0,Wide,1868,879
19,19.86,8.5,Wide,949,856
20,14.78,6.0,Wide,1323,855
21,18.86,7.0,Wide,1112,833
22,14.54,6.0,Wide,1029,816
23,122.76,41.0,Wide,1805,809
24,14.95,5.5,Wide,1481,797
25,41.2,16.0,Wide,1888,791
26,11.04,4.5,Wide,1396,783
27,12.54,5.0,Wide,420,779
28,25.61,9.5,Wide,878,777
29,18.07,8.0,Wide,819,747
30,580.27,165.0,Unknown,911,738
31,46.94,22.5,Wide,647,731
32,29.14,10.0,Wide,777,705
33,24.31,8.5,Wide,807,692
34,15.66,7.5,Wide,673,647
35,50.68,20.5,Wide,884,645
36,87.78,33.0,Wide,445,643
37,11.54,4.5,Wide,710,619
38,73.94,27.5,Wide,696,618
39,13.24,4.5,Wide,762,612
40,21.78,8.0,Wide,577,602
41,17.07,7.0,Wide,638,595
42,10.83,4.5,Wide,657,590
43,170.69,60.5,Wide,786,578
44,60.44,17.0,Wide,1866,559
45,187.06,68.0,Wide,732,554
46,26.52,9.5,Wide,792,545
47,92.17,30.5,Wide,595,540
48,31.44,11.0,Wide,1880,488
49,53.11,17.5,Wide,894,465
50,64.02,30.0,Wide,791,456
51,25.11,8.5,Wide,925,451
52,46.16,16.0,Wide,673,434
53,198.51,61.0,Wide,637,420
54,72.7,24.5,Wide,1871,386
55,90.74,31.0,Wide,755,361
56,17.16,7.5,Wide,830,359
57,180.38,54.5,Wide,1010,338
58,25.19,8.5,Wide,844,331
59,49.48,16.0,Wide,1129,310
60,56.94,21.5,Wide,1877,286
61,24.19,9.5,Wide,753,278
62,18.85,7.0,Wide,1180,273
63,183.71,66.0,Wide,983,268
64,169.25,77.5,Wide,1689,253
65,33.02,14.0,Wide,777,248
66,21.45,10.0,Wide,793,243
67,15.99,7.0,Wide,619,236
68,20.86,8.5,Wide,454,188
69,41.85,18.5,Wide,814,187
70,25.56,9.5,Wide,1339,185
71,292.55,73.5,Wide,722,152
72,40.68,15.0,Wide,763,135
73,161.33,29.5,Wide,831,111
74,254.66,84.5,Wide,1099,97
75,72.47,33.5,Wide,882,95
76,47.78,14.5,Wide,905,87
77,42.51,15.0,Wide,1548,72
78,16.95,7.5,Wide,833,58
79,25.9,10.0,Wide,1484,55
80,21.36,9.0,Wide,969,39
81,29.31,8.5,Wide,1342,27
82,102.08,35.5,Wide,891,19
83,17.99,6.5,Wide,1513,17
84,14.95,6.5,Wide,1172,15
85,33.64,10.0,Wide,1341,4
86,496.56,168.0,Unknown,1109,1
87,1956.13,618.5,Unknown,552,0
88,104.1,29.0,Wide,935,0
89,531.25,239.0,Unknown,397,0
